category,page,page_url,pro_name,pro_price,pro_review,pro_url
trang-diem-mat,1,https://www.lazada.vn/trang-diem-mat/?page=1,Bảng Màu Mắt Odbo Galaxy Có Nhũ Tông Cam Gạch OD201 - Bảng Phấn Mắt Odbo Galaxy Có Nhũ Tông Cam Đất - Bảng Mắt Odbo Tông Cam Gạch - Phấn Mắt Tông Cam Gạch - Bảng Màu Mắt Odbo Tông Tây Cam Đất - Bảng Phấn Mắt Odbo Tông Tây Cam Gạch - Màu Mắt Thái Cam Gạch,144000.00,0,https://www.lazada.vn/products/bang-mau-mat-odbo-galaxy-co-nhu-tong-cam-gach-od201-bang-phan-mat-odbo-galaxy-co-nhu-tong-cam-dat-bang-mat-odbo-tong-cam-gach-phan-mat-tong-cam-gach-bang-mau-mat-odbo-tong-tay-cam-dat-bang-phan-mat-odbo-tong-tay-cam-gach-mau-mat-thai-cam-gach-i280072387-s437372977.html?search=1
trang-diem-mat,1,https://www.lazada.vn/trang-diem-mat/?page=1,Dầu Dừa Dưỡng Mi Nguyên Chất 100%,29000.00,0,https://www.lazada.vn/products/dau-dua-duong-mi-nguyen-chat-100-i251389713-s333291721.html?search=1
trang-diem-mat,1,https://www.lazada.vn/trang-diem-mat/?page=1,Bảng Phấn Mắt NUDE HUDAMOJI,97000.00,1,https://www.lazada.vn/products/bang-phan-mat-nude-hudamoji-i266364039-s386144390.html?search=1
trang-diem-mat,8,https://www.lazada.vn/trang-diem-mat/?page=8,Phấn mắt Gogo Tales 12 màu,75000.00,32,https://www.lazada.vn/products/phan-mat-gogo-tales-12-mau-i259308198-s361451871.html?search=1
trang-diem-mat,8,https://www.lazada.vn/trang-diem-mat/?page=8,( GIÁ SẬP SÀN )BỘ CHÌ KẺ MÀY NOVO GỒM (3 KHUÔN VẼ CHÂN MÀY VÀ 3 RUỘT CHÌ THAY THẾ) MÀU NÂU,49000.00,17,https://www.lazada.vn/products/gia-sap-san-bo-chi-ke-may-novo-gom-3-khuon-ve-chan-may-va-3-ruot-chi-thay-the-mau-nau-i258915130-s359737739.html?search=1
trang-diem-mat,8,https://www.lazada.vn/trang-diem-mat/?page=8,Bộ 8 Khuôn Kẻ Mày Dán Hàn Quốc - Mẫu Mới Nhất,11900.00,105,https://www.lazada.vn/products/bo-8-khuon-ke-may-dan-han-quoc-mau-moi-nhat-i224343836-s282947767.html?search=1
trang-diem-mat,8,https://www.lazada.vn/trang-diem-mat/?page=8,SET GEL NHŨ MẮT KIM TUYẾN ( 6 Cây ),48500.00,5,https://www.lazada.vn/products/set-gel-nhu-mat-kim-tuyen-6-cay-i258824118-s359456844.html?search=1
trang-diem-mat,6,https://www.lazada.vn/trang-diem-mat/?page=6,HỘP PHẤN MẮT EYES EYESHADOW COLOR PLAY PHIÊN BẢN HOA ANH ĐÀO L0104,29000.00,21,https://www.lazada.vn/products/hop-phan-mat-eyes-eyeshadow-color-play-phien-ban-hoa-anh-dao-l0104-i266264857-s385852092.html?search=1
trang-diem-mat,6,https://www.lazada.vn/trang-diem-mat/?page=6,Bảng phấn mắt 10 màu Colour Geometry Lameila CG22,21600,100,https://www.lazada.vn/products/bang-phan-mat-10-mau-colour-geometry-lameila-cg22-i248092119-s323813597.html?search=1
trang-diem-mat,6,https://www.lazada.vn/trang-diem-mat/?page=6,Bút Kẻ Lông Mày Gẩy Sợi 4D Fine Skech Miking Pretty,23000.00,69,https://www.lazada.vn/products/but-ke-long-may-gay-soi-4d-fine-skech-miking-pretty-i256286781-s351170230.html?search=1
