category,main class,item name,price range,price_min,price_max,monthly sales,item url,item picture
美妝保健,開架流行清潔保養,巴黎萊雅 青春密碼 酵素肌底調理精華 30ml 贈酵素肌底調理精華 7.5mlX2│巴黎萊雅官方旗艦店,"$1,200 ",1200,1200,987,https://shopee.tw/巴黎萊雅-青春密碼-酵素肌底調理精華-30ml-贈酵素肌底調理精華-7.5mlX2│巴黎萊雅官方旗艦店-i.37004578.1903648498,https://cf.shopee.tw/file/8f7d71993f93145c6c1b068c9a964473
美妝保健,開架流行清潔保養,[韓國&日本正品南他宿]韓國不敗熱銷 MEDIHEAL 美迪惠爾面膜 NMF/WHP/IPI/膠原/茶樹/DNA/PEP,$30 ,30,30,1076,https://shopee.tw/-韓國-日本正品南他宿-韓國不敗熱銷-MEDIHEAL-美迪惠爾面膜-NMF-WHP-IPI-膠原-茶樹-DNA-PEP-i.376529.2884996,https://cf.shopee.tw/file/804f2e8e5329e42fd04852d4022495ea
美妝保健,開架流行清潔保養,【DDT】 MEDIHEAL 美迪惠爾 可萊斯保濕補水面膜 可萊絲面膜 三倍補水面膜 N.M.F 現貨 NMF H203,$30 ,30,30,1106,https://shopee.tw/【DDT】-MEDIHEAL-美迪惠爾-可萊斯保濕補水面膜-可萊絲面膜-三倍補水面膜-N.M.F-現貨-NMF-H203-i.16584973.1649305600,https://cf.shopee.tw/file/8f1a79c15629cbc69e1a960e7452ac11
美妝保健,開架流行清潔保養,?現貨? 嫁接 美睫 接睫毛 專用 眼膜 眼貼 隔離墊片 美睫娜娜 不分邊 接睫眼膜,$3 ,3,3,3494,https://shopee.tw/?現貨?-嫁接-美睫-接睫毛-專用-眼膜-眼貼-隔離墊片-美睫娜娜-不分邊-接睫眼膜-i.3026748.810660717,https://cf.shopee.tw/file/73e362bf0703e47ebf5a3b0014df335d
美妝保健,開架流行清潔保養,開放預購★台灣發貨★日本/韓國人氣 SPA 蒸汽眼罩 紓壓眼罩 舒緩眼罩 熱敷眼罩 溫熱眼罩 按摩眼罩 蒸氣眼罩,$8 ,8,8,2446,https://shopee.tw/開放預購★台灣發貨★日本-韓國人氣-SPA-蒸汽眼罩-紓壓眼罩-舒緩眼罩-熱敷眼罩-溫熱眼罩-按摩眼罩-蒸氣眼罩-i.5530185.1834185785,https://cf.shopee.tw/file/b0ca69977bfe758ab72d802ff37020cf
美妝保健,開架流行清潔保養,現貨??獨家訂製 秘? 鎖水保濕光感修護面膜 雷射 敏感肌 水光 噴光 燈泡 光感肌 貼妝 嫩白 醫美,$39 ,39,39,1336,https://shopee.tw/現貨??獨家訂製-秘?-鎖水保濕光感修護面膜-雷射-敏感肌-水光-噴光-燈泡-光感肌-貼妝-嫩白-醫美-i.5025335.116395708,https://cf.shopee.tw/file/7baa7af768d858c743d173a9b3bb9fe2
美妝保健,開架流行清潔保養,一般面膜 早安晚安面膜 批發,$6 - $8,6,8,1907,https://shopee.tw/一般面膜-早安晚安面膜-批發-i.29333540.1710133476,https://cf.shopee.tw/file/4fb8946aaa06bfa9acfeef3202ff34a3
美妝保健,開架流行清潔保養,《正韓現貨 有發票最安心》innisfree my real squeeze mask 真萃鮮榨面膜 亮白 保濕 精華,$25 ,25,25,1091,https://shopee.tw/《正韓現貨-有發票最安心》innisfree-my-real-squeeze-mask-真萃鮮榨面膜-亮白-保濕-精華-i.23429539.726738223,https://cf.shopee.tw/file/f5f5794432f25eb0dd4978d3fa8869f1
美妝保健,開架流行清潔保養,【10入】開放預購中㊣100%保證㊣日本/韓國人氣 SPA 蒸汽眼罩 蒸氣眼罩 紓壓眼罩 舒緩眼罩 熱敷眼罩 溫熱眼罩,$75 ,75,75,1388,https://shopee.tw/【10入】開放預購中㊣100-保證㊣日本-韓國人氣-SPA-蒸汽眼罩-蒸氣眼罩-紓壓眼罩-舒緩眼罩-熱敷眼罩-溫熱眼罩-i.7378414.1834191605,https://cf.shopee.tw/file/ee4f906c5e5115da3f3bab402fe0f5a0
美妝保健,開架流行清潔保養,【奈奈美代購誌】免運+現貨 The Ordinary 菸鹼胺 杜鵑花酸 五胜肽 果酸 藍銅胜肽 精華液 維他命c 美白,$210 - $609,210,609,935,https://shopee.tw/【奈奈美代購誌】免運-現貨-The-Ordinary-菸鹼胺-杜鵑花酸-五胜肽-果酸-藍銅胜肽-精華液-維他命c-美白-i.16448224.911851682,https://cf.shopee.tw/file/74684fcf339ccce3ece999bbc8cdec34
