时间戳记,Your Bitcointalk Username,Your Forum Profile Link,Your Telegram name,Your Ethereum Address,
2018/04/18 8:04:12 下午 GMT+8,K1773R,https://bitcointalk.org/index.php?actionprofile;u48125,sadsadness,0x8e22A579D7D907B6751fC848c9676df4C58B7fFa,in
2018/04/18 8:04:20 下午 GMT+8,ForceField,https://bitcointalk.org/index.php?actionprofile;u31282,ladygagamaster,0xC9f6b65624930b544e19a81F1E56399fBC3d3DB8,in
2018/04/18 8:04:26 下午 GMT+8,Mister1k,https://bitcointalk.org/index.php?actionprofile;u337098,luffysamapro,0x8a36cb6f48616c4dd0b0e00d3d06b029b6185ef7,not in
2018/04/18 8:04:34 下午 GMT+8,Nyhm,https://bitcointalk.org/index.php?actionprofile;u54925,fafafafafafafa205,0x2ACadeE8E6F1Cd41579eCEDD2b672E635d8b4c3B,in
2018/04/18 8:04:34 下午 GMT+8,mcorlett,https://bitcointalk.org/index.php?actionprofile;u48076,TylerRobinson,0x6ca04ADda71Ff15d2F42e84D450922fFea651238,in
2018/04/18 8:04:35 下午 GMT+8,buwaytress,https://bitcointalk.org/index.php?actionprofile;u901859,cucalumper,0xF54848E21497B3D753eF9Da0Fb6caA088E8336e9,in
2018/04/18 8:04:39 下午 GMT+8,Jacob Exe,https://bitcointalk.org/index.php?actionprofile;u1100166,tainguyen1u9,0xdf632677ecdf2af62e1c5df18c095dcb77143f92,in
2018/04/18 8:04:42 下午 GMT+8,runlinux,https://bitcointalk.org/index.php?actionprofile;u31698,friendzone123,0x7f7d44A0416F625eD3647A73C7Ea436FfDE4B361,not in
2018/04/18 8:04:43 下午 GMT+8,bobohuy,https://bitcointalk.org/index.php?actionprofile;u980089,maryriun,0xBa3780B63a4748d106a5Fdb3Ea33862aEf130294,in
2018/04/18 8:04:45 下午 GMT+8,samr7,https://bitcointalk.org/index.php?actionprofile;u20336,CaitlinBates,0x1a7d4c43AEeE3036E453a24B9ECF8E3D1766A4a8,in
2018/04/18 8:04:50 下午 GMT+8,paraipan,https://bitcointalk.org/index.php?actionprofile;u29395,Okanto,0x9a2DbC12599c19c1719B390c8051fc00aCB00e84,in
2018/04/18 8:05:01 下午 GMT+8,SundayGirl,https://bitcointalk.org/index.php?actionprofile;u511022,bigmommom,0x1238b4f6b219F9c373659982265Ddd3a4b68d002,in
2018/04/18 8:05:12 下午 GMT+8,dollarday,https://bitcointalk.org/index.php?actionprofile;u133241,mamawithpapa,0x19c857cE95E5C3c27BD11751e70237e4500Ff5C9,in
2018/04/18 8:05:14 下午 GMT+8,Lodipetmalu,https://bitcointalk.org/index.php?actionprofile;u1301692 ,vihuyentagru,0x5700c132f922f105247a86e515de85e8a47034bc,not in
2018/04/18 8:05:17 下午 GMT+8,BluBerry,https://bitcointalk.org/index.php?actionprofile;u1024143,xendusen12,0x7C07305Ee3519188c46C8656eb3c70c93b4F64Cb,in
2018/04/18 8:05:19 下午 GMT+8,The00Dustin,https://bitcointalk.org/index.php?actionprofile;u31502,sakurachan111,0xA11b082F3C0d57876bF0a129a188861F4aCee801,in
2018/04/18 8:05:20 下午 GMT+8,Chachacoin17,https://bitcointalk.org/index.php?actionprofile;u1002351,admfreebountyvn,0x39f2d97d9382fa9f4d4f2de58aabe139c94e0e66,in
2018/04/18 8:05:23 下午 GMT+8,nimda?? ? ? ? ? ? ?,https://bitcointalk.org/index.php?actionprofile;u57857,EllieBradshaw,0x15668D8d9E23bea2D6e07EcCFeF7f660d5bAa8FE,in
