category,category url,main class,class url
女生配件,https://shopee.tw/女生配件-cat.2580,珠寶/玉石,https://shopee.tw/珠寶-玉石-cat.2580.18865
女生配件,https://shopee.tw/女生配件-cat.2580,其他,https://shopee.tw/其他-cat.2580.2592
戶外與運動用品,https://shopee.tw/戶外與運動用品-cat.1611,登山、露營,https://shopee.tw/登山、露營-cat.1611.2637
戶外與運動用品,https://shopee.tw/戶外與運動用品-cat.1611,戶外休閒用品,https://shopee.tw/戶外休閒用品-cat.1611.1613
戶外與運動用品,https://shopee.tw/戶外與運動用品-cat.1611,運動用品,https://shopee.tw/運動用品-cat.1611.1615
戶外與運動用品,https://shopee.tw/戶外與運動用品-cat.1611,健身運動器材,https://shopee.tw/健身運動器材-cat.1611.1621
戶外與運動用品,https://shopee.tw/戶外與運動用品-cat.1611,腳踏車、自行車,https://shopee.tw/腳踏車、自行車-cat.1611.2638
戶外與運動用品,https://shopee.tw/戶外與運動用品-cat.1611,游泳,https://shopee.tw/游泳-cat.1611.15648
戶外與運動用品,https://shopee.tw/戶外與運動用品-cat.1611,行李箱,https://shopee.tw/行李箱-cat.1611.2155
戶外與運動用品,https://shopee.tw/戶外與運動用品-cat.1611,旅行相關用品,https://shopee.tw/旅行相關用品-cat.1611.2188
戶外與運動用品,https://shopee.tw/戶外與運動用品-cat.1611,戶外服飾/鞋/配件,https://shopee.tw/戶外服飾-鞋-配件-cat.1611.14266
戶外與運動用品,https://shopee.tw/戶外與運動用品-cat.1611,雨衣、雨具,https://shopee.tw/雨衣、雨具-cat.1611.2690
戶外與運動用品,https://shopee.tw/戶外與運動用品-cat.1611,其他,https://shopee.tw/其他-cat.1611.1612
戶外與運動用品,https://shopee.tw/戶外與運動用品-cat.1611,運動鞋款,https://shopee.tw/運動鞋款-cat.1611.17426
戶外與運動用品,https://shopee.tw/戶外與運動用品-cat.1611,運動服飾/帽襪,https://shopee.tw/運動服飾-帽襪-cat.1611.17400
戶外與運動用品,https://shopee.tw/戶外與運動用品-cat.1611,運動能量補給品,https://shopee.tw/運動能量補給品-cat.1611.19641
服務、票券,https://shopee.tw/服務、票券-cat.74,禮券,https://shopee.tw/禮券-cat.74.1631
服務、票券,https://shopee.tw/服務、票券-cat.74,餐券,https://shopee.tw/餐券-cat.74.1629
服務、票券,https://shopee.tw/服務、票券-cat.74,活動門票,https://shopee.tw/活動門票-cat.74.1633
服務、票券,https://shopee.tw/服務、票券-cat.74,旅遊票券,https://shopee.tw/旅遊票券-cat.74.1627
服務、票券,https://shopee.tw/服務、票券-cat.74,儲值、充值卡,https://shopee.tw/儲值、充值卡-cat.74.2647
服務、票券,https://shopee.tw/服務、票券-cat.74,服務、課程,https://shopee.tw/服務、課程-cat.74.2648
服務、票券,https://shopee.tw/服務、票券-cat.74,其他,https://shopee.tw/其他-cat.74.293
嬰幼童與母親,https://shopee.tw/嬰幼童與母親-cat.100,嬰幼兒裝與配件,https://shopee.tw/嬰幼兒裝與配件-cat.100.2196
嬰幼童與母親,https://shopee.tw/嬰幼童與母親-cat.100,嬰兒鞋、襪,https://shopee.tw/嬰兒鞋、襪-cat.100.2697
嬰幼童與母親,https://shopee.tw/嬰幼童與母親-cat.100,女童童裝,https://shopee.tw/女童童裝-cat.100.2663
嬰幼童與母親,https://shopee.tw/嬰幼童與母親-cat.100,女童配件,https://shopee.tw/女童配件-cat.100.2664
嬰幼童與母親,https://shopee.tw/嬰幼童與母親-cat.100,男童童裝,https://shopee.tw/男童童裝-cat.100.2661
嬰幼童與母親,https://shopee.tw/嬰幼童與母親-cat.100,男童配件,https://shopee.tw/男童配件-cat.100.2662
嬰幼童與母親,https://shopee.tw/嬰幼童與母親-cat.100,孕婦裝及用品,https://shopee.tw/孕婦裝及用品-cat.100.1639
嬰幼童與母親,https://shopee.tw/嬰幼童與母親-cat.100,兒童玩具,https://shopee.tw/兒童玩具-cat.100.1643
嬰幼童與母親,https://shopee.tw/嬰幼童與母親-cat.100,哺育用品,https://shopee.tw/哺育用品-cat.100.2198
嬰幼童與母親,https://shopee.tw/嬰幼童與母親-cat.100,清潔護理,https://shopee.tw/清潔護理-cat.100.2200
嬰幼童與母親,https://shopee.tw/嬰幼童與母親-cat.100,外出用品,https://shopee.tw/外出用品-cat.100.1645
嬰幼童與母親,https://shopee.tw/嬰幼童與母親-cat.100,嬰幼童家具、寢具,https://shopee.tw/嬰幼童家具、寢具-cat.100.2199
嬰幼童與母親,https://shopee.tw/嬰幼童與母親-cat.100,嬰幼兒居家防護,https://shopee.tw/嬰幼兒居家防護-cat.100.8366
嬰幼童與母親,https://shopee.tw/嬰幼童與母親-cat.100,其他,https://shopee.tw/其他-cat.100.291
男生包包與配件,https://shopee.tw/男生包包與配件-cat.1837,錢包、皮件,https://shopee.tw/錢包、皮件-cat.1837.1841
男生包包與配件,https://shopee.tw/男生包包與配件-cat.1837,後背包,https://shopee.tw/後背包-cat.1837.1845
男生包包與配件,https://shopee.tw/男生包包與配件-cat.1837,手錶,https://shopee.tw/手錶-cat.1837.1839
男生包包與配件,https://shopee.tw/男生包包與配件-cat.1837,側背/斜背包,https://shopee.tw/側背-斜背包-cat.1837.1843
男生包包與配件,https://shopee.tw/男生包包與配件-cat.1837,帽子,https://shopee.tw/帽子-cat.1837.1855
男生包包與配件,https://shopee.tw/男生包包與配件-cat.1837,飾品,https://shopee.tw/飾品-cat.1837.2175
男生包包與配件,https://shopee.tw/男生包包與配件-cat.1837,襪子,https://shopee.tw/襪子-cat.1837.2578
