,Unnamed: 0,名字,投票人数,类型,产地,上映时间,时长,年代,评分,首映地点
15243,15243,狂走情死考,144.0,剧情,日本,1969-09-01 00:00:00,72,1969,7.0,美国
15244,15244,旷野旅程 ,308.0,短片,其他,1995-06-17 00:00:00,35,1995,7.5,美国
15245,15245,矿藏之谜,433.0,悬疑,英国,1990-01-21 00:00:00,50,1990,7.6,美国
15246,15246,矿工的女儿,269.0,剧情,美国,1980-03-07 00:00:00,125,1980,7.7,美国
15247,15247,矿工速写,30.0,纪录片,中国,2010-07-02 00:00:00,62,2010,6.9,美国
15248,15248,窥情 窺,527.0,剧情,中国,1984-03-09 00:00:00,90,1984,6.1,美国
15249,15249,奎迪,8894.0,剧情,美国,2015-11-25 00:00:00,133,2015,7.4,美国
15250,15250,好朋友们,10033.0,剧情,韩国,2014-07-10 00:00:00,114,2014,7.6,韩国
15251,15251,活在当下,12595.0,剧情,英国,2012-09-19 00:00:00,103,2012,7.6,英国
15252,15252,记忆中的玛妮 思い出のマーニ,10111.0,剧情,日本,2014-07-19 00:00:00,103,2014,7.6,日本
15253,15253,傀儡公主 からくりの,213.0,剧情,日本,2000-03-24 00:00:00,43,2000,7.4,日本
15254,15254,傀儡生涯,265.0,剧情,瑞典,1980-11-07 00:00:00,104,1980,7.8,美国
15255,15255,傀儡凶手,699.0,惊悚,美国,1978-11-08 00:00:00,107,1978,6.8,美国
15256,15256,傀儡之城 のぼうの,1651.0,剧情,日本,2012-11-02 00:00:00,145,2012,7.1,日本
15257,15257,傀儡主人,68.0,科幻,美国,1994-10-21 00:00:00,109,1994,6.6,美国
15258,15258,溃堤决坝,161.0,剧情,印度,2011-11-25（印度）,108,2011,4.1,美国
15259,15259,溃逃 Бе,93.0,剧情,俄罗斯,1970-01-28 00:00:00,196,1970,8.4,美国
15260,15260,目迷五色 female,113.0,剧情,日本,2005-03-26 00:00:00,60,2005,6.9,美国
15261,15261,霓虹肤,113.0,剧情,澳大利亚,2009-05-26 00:00:00,60,2009,6.3,StKildaFilmFestival
15262,15262,三个强盗,113.0,动画,美国,1972-05-25 00:00:00,60,1972,7.6,美国
15263,15263,凯文怎么了,11784.0,剧情,英国,2011-09-02 00:00:00,110,2011,7.6,英国
15264,15264,太阴指 太陰,113.0,动作,中国,1972-04-14 00:00:00,60,1972,6.6,美国
15265,15265,威尼斯之鲨,113.0,动作,美国,2008-10-06 00:00:00,60,2008,3.9,美国
15266,15266,捆着我，绑着我 ,13111.0,剧情,西班牙,1990-01-22 00:00:00,111,1990,7.6,西班牙
15267,15267,困惑的浪漫,8878.0,恐怖,德国,1987-06-13 00:00:00,75,1987,6.2,美国
15268,15268,困兽 困,279.0,剧情,中国,2001-12-13 00:00:00,90,2001,7.0,美国
15269,15269,困在爱中,5899.0,剧情,美国,2012-09-09 00:00:00,96,2012,7.4,多伦多电影节
15270,15270,困在雾中,53.0,剧情,美国,1956-10-07 00:00:00,25,1956,7.3,美国
15271,15271,蛞蝓之灾,433.0,恐怖,西班牙,1988-09-16 00:00:00,92,1988,6.6,美国
15272,15272,学校怪谈G 学校の,113.0,恐怖,日本,1998-09-27 00:00:00,60,1998,7.7,日本
15273,15273,垃圾场,465.0,纪录片,巴西,2010-01-21 00:00:00,99,2010,8.8,巴西
15274,15274,垃圾纪元,35.0,纪录片,法国,1981年,6,1981,7.8,美国
15275,15275,垃圾街,684.0,喜剧,美国,1987-06-24 00:00:00,91,1987,6.3,美国
15276,15276,垃圾男孩,3273.0,喜剧,美国,2014-10-09 00:00:00,113,2014,7.5,巴西
15277,15277,垃圾围城,534.0,纪录片,中国,2010-06-13 00:00:00,83,2010,8.7,美国
